Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,RespectY,RespectN,RespectO,AngerY,AngerN,AngerO,SadnessY,SadnessN,SadnessO,StressY,StressN,StressO,WorryY,WorryN,WorryO,PainY,PainN,PainO,EnjoymentY,EnjoymentN,EnjoymentO
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,85,11,3,41,59,1,34,65,1,48,51,2,50,50,0,42,58,1,50,42,8
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,87,13,1,17,81,2,38,61,1,31,67,2,63,36,0,38,61,1,53,43,4
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,67,31,3,26,74,0,22,77,1,34,66,0,41,58,0,41,59,0,72,27,1
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,81,18,1,19,81,1,22,77,1,27,72,1,30,69,1,23,76,1,65,35,0
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,65,33,2,29,70,0,36,63,1,37,61,2,50,49,0,42,57,1,62,38,0
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,95,4,0,8,92,0,18,82,0,30,70,0,36,64,0,21,79,0,87,13,0
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,92,7,1,9,91,0,16,84,0,31,68,0,26,74,0,21,79,0,86,14,0
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,93,6,0,27,72,0,45,55,0,46,54,0,50,50,0,32,68,0,77,23,0
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,74,22,4,39,59,3,49,50,1,51,42,7,58,39,3,54,45,1,69,29,2
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,88,11,1,22,77,0,22,78,0,34,66,0,32,67,0,29,70,0,69,30,1
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,,,,,,,,,,,,,,,,,,,,,
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,83,17,1,27,73,0,23,77,0,37,63,0,29,71,1,15,85,0,55,45,1
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,96,4,0,11,89,0,18,82,0,37,63,0,34,66,0,22,78,0,86,14,0
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,94,6,0,38,61,1,33,67,0,31,69,0,41,59,0,49,51,0,53,46,1
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,90,10,0,43,57,0,33,67,0,51,49,0,49,51,0,45,55,0,58,42,0
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,96,4,0,10,90,0,22,78,0,33,67,0,35,65,0,31,69,0,87,13,0
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,97,3,0,10,89,0,20,80,0,30,69,1,45,55,0,33,67,0,91,9,0
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,95,5,0,24,75,0,35,65,0,48,50,2,54,45,0,36,64,0,79,19,2
